Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash
2022-06-10,30110.330078125,30245.80859375,28978.146484375,29083.8046875,29867476527,13,-0.4454,7.597333333333333e-05,19017.642578125,-0.34610884708978124,1
2022-06-11,29084.666015625,29401.916015625,28236.212890625,28360.810546875,27246574439,12,-0.7692,2.9156666666666668e-05,19017.642578125,-0.3294393844388731,1
2022-06-12,28373.513671875,28502.685546875,26762.6484375,26762.6484375,34163220274,14,-1.1214,3.667333333333333e-05,19017.642578125,-0.28939609162606816,1
2022-06-13,26737.578125,26795.58984375,22141.2578125,22487.388671875,68204556440,11,-2.6943,6.180000000000001e-06,19017.642578125,-0.15429742174064057,1
2022-06-14,22487.986328125,23018.951171875,20950.818359375,22206.79296875,50913575242,8,-2.4675,-3.711666666666666e-05,19017.642578125,-0.14361147938438742,1
2022-06-15,22196.73046875,22642.671875,20178.376953125,22572.83984375,54912007015,7,-2.696,-3.3276666666666666e-05,19017.642578125,-0.1574988920416838,1
2022-06-16,22576.3046875,22868.921875,20265.2265625,20381.650390625,31183975654,7,-1.9571,-1.6386666666666667e-05,19017.642578125,-0.06692332496917944,0
2022-06-17,20385.71875,21243.3125,20326.51953125,20471.482421875,27132421514,9,-1.6463,-2.205333333333333e-05,19017.642578125,-0.07101780974085616,0
2022-06-18,20473.42578125,20736.041015625,17708.623046875,19017.642578125,42009436760,6,-2.8433,5.719333333333333e-05,19242.255859375,0.011810784660994781,0
2022-06-19,19010.90234375,20683.822265625,18067.15234375,20553.271484375,35329942625,6,-2.5343,2.3076666666666665e-05,19242.255859375,-0.06378622624610684,0
2022-06-20,20553.37109375,20913.322265625,19689.169921875,20599.537109375,30818458597,9,-2.0421,2.1376666666666665e-05,19242.255859375,-0.06588891987200486,0
2022-06-21,20594.294921875,21620.62890625,20415.0625,20710.59765625,28970212744,9,-1.4409,5.665e-05,19242.255859375,-0.07089808904823598,0
2022-06-22,20719.4140625,20835.75,19848.078125,19987.029296875,28574793478,11,-1.0115,-1.4813333333333334e-05,19242.255859375,-0.03726283813555256,0
2022-06-23,19986.607421875,21135.76171875,19950.1171875,21085.876953125,26188097173,11,-1.2229,-1.7016666666666666e-05,19242.255859375,-0.08743393020117046,0
2022-06-24,21084.6484375,21472.91796875,20777.51171875,21231.65625,24957784918,11,-1.1844,8.668666666666667e-05,19242.255859375,-0.0936997268230075,0
2022-06-25,21233.609375,21520.9140625,20964.5859375,21502.337890625,18372538715,14,-1.7292,7.540333333333334e-05,19242.255859375,-0.1051086650552261,1
2022-06-26,21496.494140625,21783.724609375,21016.26953125,21027.294921875,18027170497,14,-1.0675,6.889666666666667e-05,19242.255859375,-0.0848915216689617,0
2022-06-27,21028.23828125,21478.08984375,20620.19921875,20735.478515625,20965695707,12,-1.1171,5.8183333333333336e-05,19242.255859375,-0.0720129345037684,0
2022-06-28,20731.544921875,21164.423828125,20228.8125,20280.634765625,21381535161,10,-0.4114,-1.921333333333333e-05,19242.255859375,-0.051200513112637756,0
2022-06-29,20281.169921875,20364.15625,19937.791015625,20104.0234375,23552740328,13,-1.601,5.947333333333333e-05,19242.255859375,-0.04286542844540991,0
2022-06-30,20108.3125,20141.16015625,18729.65625,19784.7265625,26267239923,11,-1.874,-6.904666666666666e-05,19242.255859375,-0.02741866062244195,0
2022-07-01,19820.470703125,20632.671875,19073.708984375,19269.3671875,30767551159,11,-2.0485,-4.5803333333333336e-05,19242.255859375,-0.0014069651515378806,0
2022-07-02,19274.8359375,19371.748046875,19027.08203125,19242.255859375,18100418740,14,-1.8522,1.475e-05,19297.076171875,0.0028489545560891733,0
2022-07-03,19242.095703125,19558.26953125,18966.951171875,19297.076171875,16390821947,11,-1.7354,5.2e-05,19323.9140625,0.0013907749747143325,0
2022-07-04,19297.314453125,20258.748046875,19063.06640625,20231.26171875,21594638208,14,-1.7727,4.89e-05,19323.9140625,-0.04484879237210822,0
2022-07-05,20225.353515625,20635.466796875,19341.232421875,20190.115234375,26715546990,19,-2.105,5.137e-05,19323.9140625,-0.042902240121950146,0
2022-07-06,20194.619140625,20595.529296875,19823.51171875,20548.24609375,24598943708,18,-1.9368,9.457666666666668e-05,19323.9140625,-0.05958328636244996,0
