Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash,SMA_7,SMA_14,Volume_Ratio_7d,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width_Percent,RSI_14,FNG_Momentum_3d,FNG_Momentum_7d,GDELT_Tone_Momentum_3d,Funding_Rate_7d_Avg
2022-07-03,19242.095703125,19558.26953125,18966.951171875,19297.076171875,16390821947,11,-1.7354,5.2e-05,19323.9140625,0.0013907749747143,0,19816.223214285714,20346.992327008928,0.7288233930102946,20503.07861328125,951.9713260864243,22407.0212654541,18599.1359611084,-0.3167118610505195,36.66772246097362,0.0,-3.0,0.13860000000000006,7.191904761904767e-06
2022-07-04,19297.314453125,20258.748046875,19063.06640625,20231.26171875,21594638208,14,-1.7727,4.89e-05,19323.9140625,-0.0448487923721082,0,19744.192243303572,20320.686941964286,0.956391886443802,20404.30205078125,864.3477717867016,22132.997594354652,18675.60650720785,-0.050049394954058114,46.711254504742556,3.0,2.0,0.27580000000000027,5.865714285714291e-06
2022-07-05,20225.353515625,20635.466796875,19341.232421875,20190.115234375,26715546990,19,-2.105,5.137e-05,19323.9140625,-0.0429022401219501,0,19731.260881696428,20283.509626116072,1.1445622276195455,20285.1658203125,697.9026981585397,21680.97121662958,18889.360423995422,-0.034048652551529654,45.293254277342406,5.0,9.0,-0.2527999999999999,1.5949047619047624e-05
2022-07-06,20194.619140625,20595.529296875,19823.51171875,20548.24609375,24598943708,18,-1.9368,9.457666666666668e-05,19323.9140625,-0.0595832863624499,0,19794.721261160714,20323.596540178572,1.0471763170915271,20293.49560546875,700.1056159943977,21693.706837457546,18893.284373479954,0.09096859190288524,55.43427814725843,7.0,5.0,-0.20140000000000002,2.096380952380953e-05
2022-07-07,20547.814453125,21771.81640625,20296.103515625,21637.587890625,25814972520,18,-0.8807,8.424666666666666e-05,19323.9140625,-0.1069284543092464,1,20059.41573660714,20363.004464285714,1.1019735292770034,20351.80087890625,761.5677826341879,21874.936444174626,18828.665313637877,0.422085545449198,55.35208534961466,4.0,7.0,0.8919999999999999,4.286285714285714e-05
2022-07-08,21637.154296875,22314.94140625,21257.453125,21731.1171875,49899834488,20,-1.2027,6.737333333333334e-05,19323.9140625,-0.1107721754123461,1,20411.094308035714,20398.680245535714,1.9075362725237515,20487.474609375,753.0328904609617,21993.540390296923,18981.408828453077,0.4128779080830443,54.894835045950096,1.0,9.0,0.9022999999999999,5.9030952380952383e-05
2022-07-09,21716.828125,21877.138671875,21445.95703125,21592.20703125,29641127858,24,-1.135,8.714333333333334e-05,19323.9140625,-0.1050514644226568,1,20746.801618303572,20405.099469866072,1.065921506763602,20539.42138671875,792.60553970526,22124.63246612927,18954.21030730823,0.33206481401919685,50.90408945599016,6.0,10.0,0.8018000000000001,6.937285714285715e-05
2022-07-10,21591.080078125,21591.080078125,20727.123046875,20860.44921875,28688807249,24,-1.7378,9.987333333333332e-05,19323.9140625,-0.0736578172472391,0,20970.140625,20393.18191964286,0.9703691443520873,20552.4669921875,795.7878751422571,22144.042742472015,18960.891241902984,0.09675387002706116,48.40395896647164,6.0,13.0,-0.8571,7.621190476190477e-05
2022-07-11,20856.353515625,20856.353515625,19924.5390625,19970.556640625,24150249025,22,-1.5615,6.759666666666666e-05,19323.9140625,-0.0323797974068269,0,20932.897042410714,20338.54464285714,0.8068930422238201,20515.46494140625,805.1975833801522,22125.860108166555,18905.06977464595,-0.16918465480664147,43.43407654588569,2.0,8.0,-0.3588,7.888285714285715e-05
2022-07-12,19970.474609375,20043.4453125,19308.53125,19323.9140625,25810220018,16,-1.4195,5.7010000000000005e-05,20212.07421875,0.0459617111407861,0,20809.15401785714,20270.207449776786,0.8660975148939726,20482.3091796875,840.9606972871336,22164.23057426177,18800.387785113235,-0.3443666038509243,42.04950449089113,-8.0,-3.0,-0.2845,7.968857142857143e-05
2022-07-13,19325.97265625,20223.052734375,18999.953125,20212.07421875,33042430345,15,-1.1837,-6.016666666666666e-06,20569.919921875,0.0177045512129101,0,20761.129464285714,20277.925362723214,1.0656508903452104,20438.61904296875,830.5875950922709,22099.79423315329,18777.443852784207,-0.06818811933784703,50.80295928859101,-9.0,-3.0,0.5541,6.531809523809524e-05
2022-07-14,20211.466796875,20789.89453125,19689.2578125,20569.919921875,31158743333,18,-1.6572,4.5026666666666674e-05,20779.34375,0.0101810716288831,0,20608.60546875,20334.010602678572,0.9807537128325883,20405.5322265625,810.2655987543342,22026.06342407117,18785.00102905383,0.05072031182282146,55.80177791555147,-4.0,0.0,-0.0956999999999999,5.97152380952381e-05
2022-07-15,20573.15625,21138.244140625,20397.0,20836.328125,25905575359,15,-1.0514,4.086333333333333e-05,20779.34375,-0.0027348568643257,0,20480.778459821428,20445.936383928572,0.9140203102716812,20372.23173828125,775.7678865066622,21923.767511294576,18820.695965267925,0.14956032428997798,62.02047491936248,-1.0,-5.0,0.3681000000000001,5.592809523809524e-05
2022-07-16,20834.103515625,21514.404296875,20518.8984375,21190.31640625,24302954056,21,-1.0138,4.950333333333333e-05,20779.34375,-0.0193943614796042,0,20423.36551339286,20585.083565848214,0.8811850085084298,20380.3828125,783.8275323931256,21948.03787728625,18812.72774771375,0.2583264686037406,64.23030620196735,6.0,-3.0,0.16989999999999994,5.0550952380952377e-05
2022-07-17,21195.041015625,21600.640625,20778.1796875,20779.34375,22927802083,24,-1.5052,8.915666666666667e-05,21239.75390625,0.0221571076444606,0,20411.77901785714,20690.959821428572,0.8568945566562299,20382.57607421875,784.934025841332,21952.444125901413,18812.708022536084,0.12636975297254305,60.29222101041345,6.0,0.0,0.1519999999999999,4.902e-05
2022-07-18,20781.912109375,22633.033203125,20781.912109375,22485.689453125,39974475562,20,-1.3166,0.0001,21239.75390625,-0.0554101554000534,0,20771.08370535714,20851.990373883928,1.377600911631194,20492.82880859375,914.0968398237502,22321.02248824125,18664.635128946247,0.5450354266938223,64.137760572513,5.0,-2.0,-0.2652000000000001,5.364904761904762e-05
2022-07-19,22467.849609375,23666.962890625,21683.40625,23389.43359375,48765202697,30,-0.771,0.0001,21239.75390625,-0.0919081549744935,0,21351.872209821428,21080.513113839286,1.5099109679820661,20657.09931640625,1113.9153631506742,22884.930042707598,18429.2685901049,0.6132275322999923,68.10456019556737,9.0,14.0,0.24280000000000002,5.97904761904762e-05
